district,women scouts performance,unauthorized building,CCTV POP,local tax payment,number of bars,average age,population,education,fine dust,single family,traditional market,cultural area,murder,burglar,rape,theft,violence,total of 5crime
강남구,8793,3,0.009536892,3225726,1299,40.5,547453,26,35,52807,10,73,10,14,600,3004,3885,7513
강동구,16740,160,0.004350343,547799,357,42.1,431920,29.6,44,36696,14,16,3,7,170,1515,2224,3919
강북구,18446,1404,0.00391744,231984,316,44.7,322915,46,35,38020,18,15,8,7,188,1112,2122,3437
강서구,10291,133,0.002678878,779750,350,41.4,603611,32.2,39,52875,12,15,11,6,269,1724,2619,4629
관악구,16706,2077,0.007662872,388339,574,41.7,520040,38.1,44,93520,23,15,9,10,352,2012,2643,5026
광진구,6206,71,0.004260732,456001,37,41.4,371063,33.5,40,50250,15,25,7,2,229,1769,1908,3915
구로구,14179,321,0.007359414,475010,93,42.5,438486,40.1,43,32586,7,22,8,9,250,1717,2826,4810
금천구,18343,23,0.006432539,444032,159,43.4,254021,40.8,39,27251,6,20,6,7,200,1168,1912,3293
노원구,9695,2358,0.003477087,349385,82,41.9,548160,36.6,39,48843,3,18,5,5,194,1422,2381,4007
도봉구,10491,261,0.002511349,237093,54,43.9,341649,35.5,41,28410,5,12,1,5,113,781,1349,2249
동대문구,15771,2032,0.005497642,432907,271,43.3,364338,38.7,36,47915,20,27,2,5,145,1447,2081,3680
동작구,18431,1545,0.004347985,430456,119,42.1,409385,37.4,40,52747,6,8,3,7,288,1151,1651,3100
마포구,4677,1096,0.005008295,732578,176,41.2,386359,42.6,44,46117,15,31,6,6,473,2011,2676,5172
서대문구,10469,2176,0.006564937,360420,114,42.9,323080,38,41,40211,8,16,5,3,206,1062,1526,2802
서초구,51088,125,0.006470195,1875603,429,40.4,438163,31.9,42,35090,6,35,5,5,470,1851,2395,4726
성동구,19584,1730,0.008465445,563388,42,42,316463,40.2,42,35978,7,19,2,5,126,999,1325,2457
성북구,14427,3392,0.006707811,443922,36,42.5,447687,40.2,42,50351,14,21,7,1,183,1164,1687,3042
송파구,9401,1358,0.002354838,1336277,334,40.7,673507,37.6,42,52233,6,28,5,6,309,2352,3135,5807
양천구,9083,33,0.005927651,489789,16,41,468145,47.8,37,31433,15,13,2,4,120,1384,2005,3515
영등포구,10920,1274,0.006181863,1248782,540,42.5,403600,43.1,48,36393,8,18,17,8,391,2292,3132,5840
용산구,8979,2786,0.008417316,739344,96,43.6,245090,33.1,34,29856,6,93,1,3,331,1096,1980,3411
은평구,14910,963,0.006073829,378265,194,43.1,487666,49,42,42370,14,29,8,1,188,1278,2115,3590
종로구,1438,1269,0.009023101,940265,537,44.2,163026,36.4,35,20633,24,163,6,3,236,1483,1962,3690
중구,11931,1587,0.01138366,1457959,792,44.5,135633,41.7,36,16522,31,84,2,11,207,1855,1955,4030
중랑구,10163,462,0.002616704,304529,73,43.5,408147,37.5,35,45940,13,13,4,3,174,1526,2581,4288
