district,women scouts performance,unauthorized building,CCTV POP,local tax payment,number of bars,average age,population,education,fine dust,single family,traditional market,cultural area,murder,burglar,rape,theft,violence,total of 5crime
강남구,6863,3,0.008507233,2802918,1295,40.1,561052,26,44,53464,10,73,7,20,607,3130,3956,7720
강동구,18930,162,0.003392686,610014,357,41.5,440359,29.6,48,35917,14,16,5,10,172,1645,2429,4261
강북구,17368,1409,0.002884129,226514,314,44,328002,46,37,36431,18,15,8,7,208,1014,2156,3393
강서구,8572,138,0.002240836,786714,327,40.9,608255,32.2,47,50204,12,15,11,4,316,1888,2916,5135
관악구,15918,2078,0.006361711,390882,572,41.4,520929,38.1,43,88407,23,15,8,7,379,1979,3152,5525
광진구,6183,127,0.003317235,407932,37,40.9,372298,33.5,42,49303,15,25,6,13,261,2220,2146,4646
구로구,16171,328,0.006207551,478997,90,41.8,441559,40.1,45,31549,7,22,7,8,328,1725,2827,4895
금천구,18509,23,0.004355184,394363,159,42.8,253491,40.8,41,25611,6,20,5,5,240,1141,1874,3265
노원구,10474,2369,0.003135779,341804,81,41.2,558075,36.6,42,46970,3,18,4,9,180,1538,2478,4209
도봉구,11499,268,0.002273029,236747,50,43.1,346234,35.5,44,27144,5,12,1,3,104,633,1258,1999
동대문구,13704,2032,0.004934278,391801,265,42.9,366011,38.7,44,46323,20,27,11,3,165,1547,2249,3975
동작구,19935,1547,0.003733234,425564,117,41.7,408493,37.4,42,50513,6,8,1,7,396,1226,1700,3330
마포구,3080,1372,0.004510308,673148,176,40.8,385783,42.6,41,45536,15,31,3,8,500,2094,2673,5278
서대문구,12226,2259,0.00592872,356038,114,42.5,325028,38,46,39036,8,16,4,1,202,1230,1676,3113
서초구,34498,125,0.005475964,1680619,419,39.9,445401,31.9,47,34243,6,35,9,13,470,1812,2404,4708
성동구,18766,1730,0.00762685,546315,42,41.6,312711,40.2,48,34689,7,19,1,3,132,1072,1559,2767
성북구,13486,3451,0.005182178,390834,36,42,455407,40.2,47,49522,14,21,7,8,173,1344,1902,3434
송파구,11019,1358,0.001773015,1325455,331,40.3,671173,37.6,45,49702,6,28,6,1,288,2274,3007,5576
양천구,8224,33,0.004094582,443922,16,40.4,475018,47.8,43,30287,15,13,3,3,138,1590,2148,3882
영등포구,11568,1618,0.004233578,1093707,537,42.1,402024,43.1,49,35236,8,18,15,5,455,2304,3190,5969
용산구,8461,2786,0.008140924,789772,96,43.2,244444,33.1,39,29320,6,93,1,5,327,1346,2381,4060
은평구,14350,963,0.005282959,408897,177,42.5,491202,49,44,40615,14,29,6,4,230,1387,2256,3883
종로구,3789,1269,0.008340588,828034,532,43.7,164257,36.4,40,19260,24,163,7,10,253,1644,2143,4057
중구,11110,1585,0.009034645,1307220,791,44.1,134593,41.7,40,16111,31,84,1,9,267,1846,2061,4184
중랑구,8001,462,0.002565531,295803,73,42.8,412780,37.5,45,44488,13,13,5,3,172,1533,2858,4571
