district,women scouts performance,unauthorized building,CCTV POP,local tax payment,number of bars,average age,population,education,fine dust,single family,traditional market,cultural area,murder,burglar,rape,theft,violence,total of 5crime
강남구,2448,3,0.007333869,2710324,1286,39.6,572140,26,51,53051,10,73,5,39,516,3587,4002,8149
강동구,15910,203,0.002722584,504494,357,41,448471,29.6,53,34876,14,16,4,14,160,1754,2530,4462
강북구,13833,1430,0.00285754,215529,310,43.5,330704,46,42,34256,18,15,7,5,217,1222,2778,4229
강서구,4235,143,0.001825266,621664,285,40.4,602104,32.2,51,48003,12,15,9,10,275,1952,3204,5450
관악구,14403,2095,0.004984713,362170,564,41,525607,38.1,48,87971,23,15,6,12,322,2103,3235,5678
광진구,5990,127,0.002061252,359320,37,40.5,372104,33.5,49,48369,15,25,4,11,279,2636,2392,5322
구로구,13438,375,0.004895463,432032,90,41.1,449600,40.1,51,30828,7,22,9,10,273,1910,3164,5366
금천구,17781,28,0.003553842,364099,158,42.3,254654,40.8,45,24991,6,20,6,7,175,1264,2193,3645
노원구,7296,2380,0.002871088,351964,81,40.6,571212,36.6,40,45517,3,18,5,6,159,1857,2516,4543
도봉구,4800,276,0.001912799,225380,46,42.4,350272,35.5,47,26423,5,12,3,5,123,866,1441,2438
동대문구,7259,2032,0.004509711,372652,260,42.3,370312,38.7,49,45597,20,27,5,10,190,1940,2642,4787
동작구,15268,1604,0.003017566,395931,116,41.2,413247,37.4,43,49363,6,8,8,7,325,1226,1661,3227
마포구,1039,1373,0.003499733,654235,170,40.4,390887,42.6,46,45531,15,31,4,4,399,2527,2939,5873
서대문구,9579,2365,0.004639873,355370,114,42.1,325871,38,50,39384,8,16,6,5,175,1503,1976,3665
서초구,15102,125,0.004855175,1597413,387,39.5,451477,31.9,51,33335,6,35,5,13,428,2205,2338,4989
성동구,13170,1730,0.004727163,435899,42,41.3,307161,40.2,53,33077,7,19,4,3,104,1296,1619,3026
성북구,7600,3460,0.004495068,370611,36,41.5,461617,40.2,49,49692,14,21,4,8,154,1470,2108,3744
송파구,13297,1362,0.001615169,1231070,325,39.9,664946,37.6,46,48070,6,28,9,15,234,2543,3289,6090
양천구,7641,33,0.003752244,462173,16,39.9,481845,47.8,47,30350,15,13,5,7,131,1719,2250,4112
영등포구,13152,1618,0.003272047,1060944,535,41.7,406779,43.1,55,35190,8,18,13,19,356,2341,3593,6322
용산구,6355,2786,0.007874273,638263,96,42.7,245102,33.1,42,28184,6,93,4,9,251,1489,2384,4137
은평구,12556,979,0.004770767,337994,172,41.9,495937,49,47,39564,14,29,6,9,156,1666,2664,4501
종로구,6970,1269,0.00672546,746839,532,43.4,161922,36.4,46,18970,24,163,6,12,238,1940,2263,4459
중구,4901,1584,0.00668854,1295444,789,43.8,134409,41.7,47,16033,31,84,3,8,198,2150,2225,4584
중랑구,7815,462,0.002388874,304261,73,42.2,415677,37.5,50,42835,13,13,8,14,164,1691,3164,5041
